municipality_of_production,municipality_of_production_id,state_of_production,state_of_production_id,volume_tons,volume_pct,fob_usd,fob_pct,deforestation_exposure_ha,deforestation_exposure_pct,gross_emissions_tons_co2,gross_emissions_pct
BRAGANEY,4103354,PARANA,41,57787.89420897262,4.7445796286232304E-4,1.892434827416704E7,5.573963548205878E-4,2.058904853857872,4.9424194662551056E-6,920.1916902634671,1.4654677449248482E-5
PAULO FRONTIN,4118709,PARANA,41,57781.99895420493,4.7440956084653893E-4,1.3147838753785629E7,3.8725547051641005E-4,37.15928000594547,8.920118309949209E-5,16607.69346071238,2.644887944739526E-4
SENGES,4126306,PARANA,41,57714.784310349154,4.7385770611234486E-4,1020762.9261781765,3.0065475753497552E-5,29.697040666587192,7.128801100531188E-5,8552.07012613594,1.3619752335080576E-4
BARRACAO,4301800,RIO GRANDE DO SUL,43,57708.0,4.738020046525193E-4,0.0,0.0,1.4972233634306142,3.594098038520741E-6,669.1579238912577,1.0656794275579072E-5
CONTENDA,4106209,PARANA,41,57629.177535930794,4.731548458272673E-4,0.0,0.0,6.300361223936091,1.5124073314642898E-5,2815.836794527447,4.484411281926548E-5
PORANGATU,5218003,GOIAS,52,57221.69013437404,4.6980923780535984E-4,1.9775990542436067E7,5.824805632206357E-4,100.60534571570967,2.415040297481239E-4,14407.314030646428,2.2944625806032212E-4
IVAI,4111407,PARANA,41,57120.492009934154,4.689783673155371E-4,1001093.1818146468,2.9486124557374694E-5,168.1956404986351,4.0375513525166745E-4,75172.11416320738,0.00119716695759823
BANDEIRANTES,4102406,PARANA,41,57078.79308908074,4.686360052116313E-4,1.9502193392260585E7,5.744161622036451E-4,0.0,0.0,0.0,0.0
IBIPORA,4109807,PARANA,41,56878.86927416635,4.6699456374278437E-4,1.9436729754926074E7,5.72488001069908E-4,0.08765468832452486,2.1041586116614294E-7,39.175737362378236,6.239002166143757E-7
SARANDI,4320107,RIO GRANDE DO SUL,43,56809.70870599142,4.6642673231829925E-4,1.9778430119147904E7,5.825524183327264E-4,6.311160021278561,1.5149995923984251E-5,1593.4838413573461,2.537731210004218E-5
INDEPENDENCIA,4310405,RIO GRANDE DO SUL,43,56788.21435610618,4.6625025650793797E-4,1.978318949166268E7,5.826926005388736E-4,25.233106542357948,6.057229732367614E-5,2509.2036989939493,3.9960772578471294E-5
CONGONHINHAS,4106001,PARANA,41,56704.000288323696,4.65558830810716E-4,1.9970658052306566E7,5.882142856628472E-4,1.6501036752537388,3.961088590680526E-6,737.4851184582757,1.17449512411185E-5
FORMIGA,3126109,MINAS GERAIS,31,56667.026701524424,4.652552652817653E-4,1.951295489394319E7,5.747331306785102E-4,0.14308445820005314,3.434755181626888E-7,33.99103690852187,5.413303416348669E-7
CAPANEMA,4104501,PARANA,41,56657.97412373367,4.6518094058667044E-4,1.8575318622071877E7,5.471160612546682E-4,11.244527405806137,2.6992588334114288E-5,5025.545818872926,8.003522935630447E-5
SAO PEDRO DO IGUACU,4125753,PARANA,41,56600.00000000001,4.647049536170478E-4,0.0,0.0,0.0,0.0,0.0,0.0
JARDIM,5005004,MATO GROSSO DO SUL,50,56195.10003889868,4.6138058934773446E-4,1.9438970069026858E7,5.72553987115786E-4,492.4112598263986,0.0011820376213155471,82899.61942754229,0.0013202327256707214
SAO MARTINHO DA SERRA,4319125,RIO GRANDE DO SUL,43,56000.29473535678,4.597811725712893E-4,1.9508703608663462E7,5.746079136362167E-4,1388.6071485630384,0.0033333638459199636,112481.64737280381,0.001791346605984441
NOVA CRIXAS,5214838,GOIAS,52,55705.65014105368,4.573620417845555E-4,1.925204249931722E7,5.670482362987894E-4,9.267014048972097,2.2245549882442966E-5,1575.1450095626788,2.5085253752210407E-5
TRES BARRAS DO PARANA,4127858,PARANA,41,55660.32534721326,4.5698991004923187E-4,1.822761317647325E7,5.368747707689871E-4,1.7733708485166284,4.256992539589669E-6,792.577236147077,1.2622330621162955E-5
